station;x;y;element;value;anomaly;anom_type
SQ-0025;335059;7948312;Ba (ppm);2.699837725867246;2.5930380488316622;2
SQ-0030A;332271;7947548;Ba (ppm);2.9410142437055695;2.5930380488316622;2
EC-0122;281044;7961773;Be (ppm);1.0;0.9665762445130504;1
LG-0001;269290;7974934;Be (ppm);0.6989700043360187;0.6338031200885157;2
SM-0107;251216;7962685;Be (ppm);0.7708520116421442;0.6338031200885157;2
AC0017;250877;7928358;Be (ppm);0.8061799739838872;0.6338031200885157;2
BM0028;236767;7925246;Be (ppm);0.8633228601204559;0.6338031200885157;2
BM0037;239315;7939839;Be (ppm);0.7403626894942439;0.6338031200885157;2
ED0011;238920;7928652;Be (ppm);0.6532125137753437;0.6338031200885157;2
ED0071;261438;7942659;Be (ppm);0.7075701760979364;0.6338031200885157;2
MR0015;272884;7920194;Be (ppm);0.7923916894982539;0.6338031200885157;2
MR0027;281194;7923429;Be (ppm);0.7781512503836436;0.6338031200885157;2
MR0042;247572;7950115;Be (ppm);0.6989700043360189;0.6338031200885157;2
MR0046;253953;7945025;Be (ppm);1.0128372247051722;0.9665762445130504;1
MR0049;252502;7943370;Be (ppm);0.6434526764861874;0.6338031200885157;2
MR0052;250453;7941655;Be (ppm);0.6812412373755872;0.6338031200885157;2
SM-0149;297667;7901720;Be (ppm);1.0043213737826426;0.9665762445130504;1
SM-0150A;298245;7899098;Be (ppm);0.785329835010767;0.6338031200885157;2
SM-0151;299434;7900851;Be (ppm);1.4842998393467859;0.9665762445130504;1
SM-0152;299921;7899374;Be (ppm);0.724275869600789;0.6338031200885157;2
SM-0075;334702;7969764;Bi (ppm);1.3979400086720375;1.317496819840656;2
BM-0132;249709;7955769;Ce (ppm);2.588271706842329;2.382899445656827;2
AC0010A;248844;7929813;Ce (ppm);2.532728906428374;2.382899445656827;2
AC0011;253225;7928084;Ce (ppm);2.5614234057438456;2.382899445656827;2
BM0003;252802;7919756;Ce (ppm);2.5563989999304226;2.382899445656827;2
BM0004;254903;7918476;Ce (ppm);2.7521714164567443;2.382899445656827;2
BM0006;245337;7918255;Ce (ppm);2.4201703657280693;2.382899445656827;2
BM0007;241739;7921617;Ce (ppm);2.6975954608488806;2.382899445656827;2
BM0016;252174;7901917;Ce (ppm);2.4099331233312946;2.382899445656827;2
